id,survey_number,district,taluk,village,area_acres,land_type,land_use,current_owner_id,latitude,longitude,market_value,status,encumbrance,created_at,location_url
9d0f8259-b1c0-4142-b9d5-9628b082109d,BLR-001/B-9D0F,Bengaluru Urban,Bengaluru East,Koramangala,0.23,Residential,Apartment,9d9734a7-1703-4db3-82ad-825e8a41a5ea,13.05673,77.658212,15507000.0,clear,None,2026-08-20T15:25:51.542556,
dcb5b5ef-3502-4e56-bf96-b8f59234b675,BLR-002/Q-DCB5,Bengaluru Urban,Bengaluru East,Hebbal,0.33,Residential,Apartment,9d9734a7-1703-4db3-82ad-825e8a41a5ea,12.867023,77.510712,23235000.0,clear,None,2026-08-20T15:25:51.542651,
63af4242-217d-4e09-a893-f572fe27e97e,BLR-003/2-63AF,Bengaluru Urban,Bengaluru East,Bannerghatta,0.28,Residential,Housing,72a28988-7259-4102-9ae0-452ede3ba196,12.848537,77.415768,15678000.0,clear,None,2026-08-20T15:25:51.542707,
f0b82a42-a99f-4bfa-bd08-400a4c96dbc4,BLR-004/Q-F0B8,Bengaluru Urban,Bengaluru South,Indiranagar,0.11,Residential,Apartment,c0dc331c-861c-4bb1-99dc-69d39c226fe6,12.799172,77.614012,5171000.0,disputed,Court Order,2026-08-20T15:25:51.542760,
9d5ed069-8037-4e1b-9350-d1c6cb098911,BLR-005/1-9D5E,Bengaluru Urban,Anekal,Jayanagar,0.16,Residential,Duplex,9d9734a7-1703-4db3-82ad-825e8a41a5ea,12.857656,77.581146,10597000.0,mortgaged,Bank Mortgage,2026-08-20T15:25:51.542794,
23f0afc2-b90b-4f9d-896f-7f09a820f62d,BLR-006/B-23F0,Bengaluru Urban,Bengaluru South,Hebbal,0.15,Residential,Duplex,9d9734a7-1703-4db3-82ad-825e8a41a5ea,13.112103,77.503238,7113000.0,clear,None,2026-08-20T15:25:51.542837,
0403cd7d-3f94-4d6b-877d-8024b8aa4227,BLR-007/C-0403,Bengaluru Urban,Bengaluru North,JP Nagar,0.61,Residential,Housing,4e5a68e7-3e07-44c8-8d9a-6b2d98b85c9b,12.847561,77.516032,13189000.0,clear,None,2026-08-20T15:25:51.542880,
5fd73707-cbde-4ee5-9b84-f9d369dd8428,BLR-008/3-5FD7,Bengaluru Urban,Bengaluru South,Jayanagar,0.32,Residential,Housing,518a99c7-276c-4f5f-98ae-e92d9bf6b3ac,12.993158,77.729497,23331000.0,clear,None,2026-08-20T15:25:51.542912,
1d3f5fa2-4185-4f7c-8c10-61328e5f75c3,BLR-009/3-1D3F,Bengaluru Urban,Bengaluru North,Koramangala,0.19,Residential,Villa,43beba1f-be3c-46c2-ba37-6a8f01fed7d4,13.138112,77.510168,4480000.0,disputed,Court Order,2026-08-20T15:25:51.542948,
e7178c3f-21eb-49e7-9887-0c0e877056c3,BLR-010/P-E717,Bengaluru Urban,Anekal,Bannerghatta,0.54,Residential,Row House,bf63502d-5134-47ad-8652-6e15c33425b7,12.958996,77.573778,11787000.0,mortgaged,Bank Mortgage,2026-08-20T15:25:51.542991,
30057037-baa3-4c15-84aa-72ad87eb845b,BLR-011/P-3005,Bengaluru Urban,Anekal,Rajajinagar,0.72,Residential,Duplex,09b9f80b-169e-4a15-9820-882165fe5129,13.059316,77.585483,17917000.0,clear,None,2026-08-20T15:25:51.543038,
a3cf5c96-9d9b-4901-9f7c-3626e744e286,BLR-012/P-A3CF,Bengaluru Urban,Bengaluru South,Yelahanka,0.74,Residential,Duplex,c0dc331c-861c-4bb1-99dc-69d39c226fe6,13.14466,77.606885,50625000.0,clear,None,2026-08-20T15:25:51.543099,
a1d6c4e3-cddc-4871-9696-4e94ab69330f,BLR-013/C-A1D6,Bengaluru Urban,Bengaluru North,Marathahalli,0.76,Residential,Row House,9d9734a7-1703-4db3-82ad-825e8a41a5ea,12.959012,77.506848,24515000.0,clear,None,2026-08-20T15:25:51.543132,
e41281c5-18a9-4a62-a7c6-8cceaa0d9572,BLR-014/2-E412,Bengaluru Urban,Anekal,Sarjapur,0.4,Residential,Duplex,09b9f80b-169e-4a15-9820-882165fe5129,13.088864,77.627891,11650000.0,disputed,Court Order,2026-08-20T15:25:51.543167,
4127d80b-6e7b-4277-a8e4-3602770e6ee1,BLR-015/2-4127,Bengaluru Urban,Anekal,Hebbal,0.41,Residential,Villa,4e5a68e7-3e07-44c8-8d9a-6b2d98b85c9b,12.982732,77.567781,23613000.0,mortgaged,Bank Mortgage,2026-08-20T15:25:51.543203,
