id,parcel_id,year,market_value,govt_value,recorded_on
50892aae-feb7-4cab-8850-0221900cc5da,9d0f8259-b1c0-4142-b9d5-9628b082109d,2020,10603000.0,7162000.0,2026-08-20T15:25:51.542626
6fd7d331-2fbf-49c4-b5f2-e2641ed743b4,9d0f8259-b1c0-4142-b9d5-9628b082109d,2021,11823000.0,7607000.0,2026-08-20T15:25:51.542630
aaad886c-c962-4dca-af4d-2fef7d19dd53,9d0f8259-b1c0-4142-b9d5-9628b082109d,2022,12208000.0,7427000.0,2026-08-20T15:25:51.542633
b2bdaffb-7c13-4f02-868a-e76af77cceae,9d0f8259-b1c0-4142-b9d5-9628b082109d,2023,13516000.0,9363000.0,2026-08-20T15:25:51.542636
e5a37946-2bab-4f44-b05d-9e75d8543c35,9d0f8259-b1c0-4142-b9d5-9628b082109d,2024,14827000.0,10418000.0,2026-08-20T15:25:51.542638
b5ec9a06-0f75-4d7d-8c8f-29c0249c41a8,9d0f8259-b1c0-4142-b9d5-9628b082109d,2025,15848000.0,10232000.0,2026-08-20T15:25:51.542641
1f70c428-239a-4f5e-958c-3afbf68c1a94,dcb5b5ef-3502-4e56-bf96-b8f59234b675,2020,15896000.0,10734000.0,2026-08-20T15:25:51.542684
15f4920c-f2b9-4246-8ddd-c790fb95397d,dcb5b5ef-3502-4e56-bf96-b8f59234b675,2021,17785000.0,11572000.0,2026-08-20T15:25:51.542688
3900f01e-a7b9-4633-bab6-edbb0e591558,dcb5b5ef-3502-4e56-bf96-b8f59234b675,2022,18276000.0,11803000.0,2026-08-20T15:25:51.542692
568f1afc-dbe9-4bf7-a614-ef039ce08749,dcb5b5ef-3502-4e56-bf96-b8f59234b675,2023,20752000.0,13769000.0,2026-08-20T15:25:51.542694
8c7bfa25-f997-4117-8bb1-29441a6179dd,dcb5b5ef-3502-4e56-bf96-b8f59234b675,2024,22250000.0,15648000.0,2026-08-20T15:25:51.542697
